distance_m,cv_model_m3,cv_empirical_m3
13509.39685," 316,343,199 ",457741026.4
13556.46792," 317,101,218 ",459139278.1
13603.53899," 317,853,893 ",460535256.6
13650.61005," 318,601,243 ",461746362.7
13697.68112," 319,343,290 ",462928583.8
13744.75219," 320,080,052 ",464011970.1
13791.82326," 320,811,550 ",465127453.1
13838.89433," 321,537,806 ",466214306.1
13885.9654," 322,258,839 ",467267806.8
13933.03647," 322,974,671 ",468312880.3
13980.10754," 323,685,323 ",469371504.5
14027.17861," 324,390,817 ",470452841
14074.24968," 325,091,173 ",471589790.8
14121.32075," 325,786,414 ",472758926
14168.39182," 326,476,562 ",473962000.6
14215.46288," 327,161,639 ",475203619
14262.53395," 327,841,666 ",476384287.1
14309.60502," 328,516,668 ",477539777.9
14356.67609," 329,186,665 ",478622137.3
14403.74716," 329,851,681 ",479786696.3
14450.81823," 330,511,738 ",480989088.9
14497.8893," 331,166,860 ",482095220.7
14544.96037," 331,817,070 ",483253041
14592.03144," 332,462,391 ",484327680.7
14639.10251," 333,102,846 ",485478643.6
14686.17358," 333,738,459 ",486723647.1
14733.24465," 334,369,253 ",487959329.5
14780.31571," 334,995,252 ",489134878.9
14827.38678," 335,616,480 ",490213122.1
14874.45785," 336,232,960 ",491339846.1
14921.52892," 336,844,717 ",492519966
14968.59999," 337,451,775 ",493681774.2
15015.67106," 338,054,158 ",494860499.2
15062.74213," 338,651,889 ",495970257.4
15109.8132," 339,244,994 ",497032676.8
15156.88427," 339,833,497 ",498009187.3
15203.95534," 340,417,421 ",498996434.6
15251.02641," 340,996,792 ",500073988.1
15298.09748," 341,571,634 ",501158632
15345.16854," 342,141,971 ",502172619.5
15392.23961," 342,707,829 ",503232357
15439.31068," 343,269,231 ",504239096.1
15486.38175," 343,826,203 ",505185239.8
15533.45282," 344,378,769 ",506129893
15580.52389," 344,926,955 ",507041947.9
15627.59496," 345,470,784 ",507877501.8
15674.66603," 346,010,281 ",508738019.9
15721.7371," 346,545,473 ",509540534.6
15768.80817," 347,076,382 ",510399929.9
15815.87924," 347,603,035 ",511176518.2
15862.95031," 348,125,455 ",511936177.2
15910.02137," 348,643,669 ",512678185.4
15957.09244," 349,157,700 ",513450339.3
16004.16351," 349,667,575 ",514234924.6
16051.23458," 350,173,317 ",514964171.3
16098.30565," 350,674,951 ",515733077.5
16145.37672," 351,172,503 ",516472356.6
16192.44779," 351,665,997 ",517252153.7
16239.51886," 352,155,458 ",518024203.4
16286.58993," 352,640,911 ",518859395.5
16333.661," 353,122,381 ",519566835.2
16380.73207," 353,599,892 ",520280782.1
16427.80314," 354,073,470 ",520998958.4
16474.8742," 354,543,139 ",521640424.4
16521.94527," 355,008,923 ",522330468.8
16569.01634," 355,470,848 ",522937552
16616.08741," 355,928,938 ",523470685.2
16663.15848," 356,383,218 ",524040189.1
16710.22955," 356,833,712 ",524518966.4
16757.30062," 357,280,445 ",525017448
16804.37169," 357,723,441 ",525525645.9
16851.44276," 358,162,725 ",526006104.9
16898.51383," 358,598,321 ",526437494.7
16945.5849," 359,030,254 ",526816310.7
16992.65596," 359,458,547 ",527240995.9
17039.72703," 359,883,226 ",527571905.7
17086.7981," 360,304,313 ",527930435.9
17133.86917," 360,721,834 ",528300671.3
17180.94024," 361,135,812 ",528674473.4
17228.01131," 361,546,271 ",529110217.6
17275.08238," 361,953,236 ",529468343.8
17322.15345," 362,356,730 ",529789096.7
17369.22452," 362,756,777 ",530198297.7
17416.29559," 363,153,400 ",530573958.4
17463.36666," 363,546,624 ",530920901.2
17510.43773," 363,936,472 ",531255739.8
17557.50879," 364,322,967 ",531599686.7
17604.57986," 364,706,133 ",531964882
17651.65093," 365,085,993 ",532283920.7
17698.722," 365,462,571 ",532617700.6
17745.79307," 365,835,890 ",532909313.3
17792.86414," 366,205,972 ",533212586.9
17839.93521," 366,572,841 ",533553313.3
17887.00628," 366,936,521 ",533889179.9
17934.07735," 367,297,033 ",534187045.1
17981.14842," 367,654,400 ",534469308
18028.21949," 368,008,646 ",534726813.9
18075.29056," 368,359,793 ",535005358
18122.36162," 368,707,863 ",535293485.9
18169.43269," 369,052,879 ",535631165.2
18216.50376," 369,394,863 ",535990770.9
18263.57483," 369,733,837 ",536363859.6
18310.6459," 370,069,825 ",536790213.7
18357.71697," 370,402,847 ",537201875.4
18404.78804," 370,732,925 ",537563886.9
18451.85911," 371,060,082 ",537963013.7
18498.93018," 371,384,340 ",538361500.6
18546.00125," 371,705,719 ",538804555.7
18593.07232," 372,024,243 ",539217307
18640.14339," 372,339,931 ",539550485
18687.21445," 372,652,806 ",539877565.4
18734.28552," 372,962,888 ",540198660.7
18781.35659," 373,270,200 ",540491846.9
18828.42766," 373,574,762 ",540769665.4
18875.49873," 373,876,595 ",541024216.4
18922.5698," 374,175,720 ",541277049
18969.64087," 374,472,157 ",541511757.2
19016.71194," 374,765,929 ",541767732
19063.78301," 375,057,054 ",542009862.9
19110.85408," 375,345,553 ",542239037.3
19157.92515," 375,631,448 ",542514463.9
19204.99622," 375,914,758 ",542755250
19252.06728," 376,195,503 ",542988688.9
19299.13835," 376,473,703 ",543244598.8
19346.20942," 376,749,379 ",543521186.7
19393.28049," 377,022,550 ",543796606.3
19440.35156," 377,293,236 ",544102965.6
19487.42263," 377,561,456 ",544383125.8
19534.4937," 377,827,231 ",544612516.4
19581.56477," 378,090,579 ",544840699.6
19628.63584," 378,351,519 ",545072555.3
19675.70691," 378,610,072 ",545262312.5
19722.77798," 378,866,255 ",545456798.8
19769.84905," 379,120,089 ",545658874.2
19816.92011," 379,371,592 ",545855570.3
19863.99118," 379,620,782 ",546052771.3
19911.06225," 379,867,679 ",546273948.2
19958.13332," 380,112,300 ",546499943.4
20005.20439," 380,354,665 ",546715485.4
20052.27546," 380,594,791 ",546881815.2
20099.34653," 380,832,698 ",547065623
20146.4176," 381,068,402 ",547249200.4
20193.48867," 381,301,922 ",547408484.4
20240.55974," 381,533,276 ",547545374.4
20287.63081," 381,762,481 ",547662452.3
20334.70187," 381,989,556 ",547807426.4
20381.77294," 382,214,518 ",547938385.5
20428.84401," 382,437,384 ",548063528.1
20475.91508," 382,658,172 ",548158962.7
20522.98615," 382,876,898 ",548254996.9
20570.05722," 383,093,581 ",548336623
20617.12829," 383,308,237 ",548402106.1
20664.19936," 383,520,882 ",548487639.8
20711.27043," 383,731,534 ",548577317.8
20758.3415," 383,940,210 ",548654505.1
20805.41257," 384,146,926 ",548733966.8
20852.48364," 384,351,698 ",548797366.2
20899.5547," 384,554,543 ",548889631
20946.62577," 384,755,477 ",548959600.6
20993.69684," 384,954,516 ",549024331.3
21040.76791," 385,151,677 ",549077131.8
21087.83898," 385,346,975 ",549121562.5
21134.91005," 385,540,425 ",549161421.7
21181.98112," 385,732,045 ",549212790.6
21229.05219," 385,921,849 ",549237143.8
21276.12326," 386,109,853 ",549267549.2
21323.19433," 386,296,072 ",549287737.3
21370.2654," 386,480,522 ",549301076.8
21417.33647," 386,663,218 ",549316481.1
21464.40753," 386,844,174 ",549355800.4
21511.4786," 387,023,407 ",549384827.5
21558.54967," 387,200,930 ",549415857
21605.62074," 387,376,758 ",549448954.9
21652.69181," 387,550,907 ",549520701.2
21699.76288," 387,723,391 ",549560540.2
21746.83395," 387,894,223 ",549577003.3
21793.90502," 388,063,420 ",549587684.4
21840.97609," 388,230,994 ",549594031.6
21888.04716," 388,396,960 ",549603009.8
21935.11823," 388,561,332 ",549610007.2
21982.1893," 388,724,124 ",549631077
22029.26036," 388,885,350 ",549656760.7
22076.33143," 389,045,024 ",549675161.1
22123.4025," 389,203,159 ",549689719.5
22170.47357," 389,359,768 ",549709696.9
22217.54464," 389,514,866 ",549743161.7
22264.61571," 389,668,466 ",549790772.9
22311.68678," 389,820,580 ",549829768.9
22358.75785," 389,971,222 ",549863713.9
22405.82892," 390,120,406 ",549900566.8
22452.89999," 390,268,143 ",549926525
22499.97106," 390,414,448 ",549968723.4
22547.04213," 390,559,332 ",550025481.1
22594.11319," 390,702,808 ",550097592
22641.18426," 390,844,889 ",550197640.2
22688.25533," 390,985,588 ",550278264.3
22735.3264," 391,124,916 ",550372983.4
22782.39747," 391,262,886 ",550466049.4
22829.46854," 391,399,511 ",550533586.3
22876.53961," 391,534,802 ",550599327
22923.61068," 391,668,771 ",550674711.9
22970.68175," 391,801,430 ",550736473.2
23017.75282," 391,932,792 ",550785149.8
23064.82389," 392,062,868 ",550832460.2
23111.89496," 392,191,668 ",550873512.9
23158.96602," 392,319,206 ",550908416.6
23206.03709," 392,445,493 ",550940722.3
23253.10816," 392,570,539 ",550984661.7
23300.17923," 392,694,356 ",551019368.6
23347.2503," 392,816,956 ",551068555.3
23394.32137," 392,938,349 ",551125046.5
23441.39244," 393,058,547 ",551165514.6
23488.46351," 393,177,560 ",551200650.2
23535.53458," 393,295,399 ",551243076.6
23582.60565," 393,412,075 ",551281742.8
23629.67672," 393,527,599 ",551322696.5
23676.74778," 393,641,981 ",551358667.4
23723.81885," 393,755,231 ",551401527.1
23770.88992," 393,867,361 ",551444242.2
23817.96099," 393,978,380 ",551505827
23865.03206," 394,088,299 ",551572735.2
23912.10313," 394,197,128 ",551650891.6
23959.1742," 394,304,877 ",551792337.3
24006.24527," 394,411,556 ",551918286.3
24053.31634," 394,517,174 ",552009684.8
24100.38741," 394,621,743 ",552093376.6
24147.45848," 394,725,270 ",552167703.5
24194.52955," 394,827,767 ",552211726.2
24241.60061," 394,929,243 ",552267623.2
24288.67168," 395,029,706 ",552357001.8
24335.74275," 395,129,168 ",552422918.6
24382.81382," 395,227,636 ",552480466.6
24429.88489," 395,325,121 ",552536742.8
24476.95596," 395,421,632 ",552585023.4
24524.02703," 395,517,177 ",552616522.3
24571.0981," 395,611,765 ",552649732
24618.16917," 395,705,407 ",552689877
24665.24024," 395,798,110 ",552735509
24712.31131," 395,889,883 ",552767180.3
24759.38238," 395,980,736 ",552796460.5
24806.45344," 396,070,676 ",552822049
24853.52451," 396,159,713 ",552851545.9
24900.59558," 396,247,854 ",552880611.5
24947.66665," 396,335,109 ",552901535
24994.73772," 396,421,486 ",552924224.2
25041.80879," 396,506,993 ",552935640.8
25088.87986," 396,591,639 ",552945235.4
25135.95093," 396,675,431 ",552952473.4
25183.022," 396,758,378 ",552954863.9
25230.09307," 396,840,487 ",552956790
25277.16414," 396,921,767 ",552958251.8
25324.23521," 397,002,225 ",552961922.3
25371.30627," 397,081,870 ",552971563.9
25418.37734," 397,160,709 ",552984205.1
25465.44841," 397,238,750 ",553001123
25512.51948," 397,316,000 ",553006866
25559.59055," 397,392,468 ",553007116.4
25606.66162," 397,468,160 ",553008833
25653.73269," 397,543,083 ",553008833
25700.80376," 397,617,247 ",553010603.1
25747.87483," 397,690,656 ",553012712.3
25794.9459," 397,763,320 ",553018274.6
25842.01697," 397,835,245 ",553022267.4
25889.08804," 397,906,437 ",553024055.7
25936.1591," 397,976,905 ",553024055.7
25983.23017," 398,046,655 ",553024055.7
26030.30124," 398,115,695 ",553024055.7
26077.37231," 398,184,030 ",553024055.7
26124.44338," 398,251,668 ",553024055.7
26171.51445," 398,318,615 ",553024055.7
26218.58552," 398,384,879 ",553024055.7
26265.65659," 398,450,466 ",553024055.7
26312.72766," 398,515,382 ",553024055.7
26359.79873," 398,579,633 ",553024055.7
26406.8698," 398,643,228 ",553024055.7
26453.94087," 398,706,171 ",553024055.7
26501.01193," 398,768,469 ",553024277.7
26548.083," 398,830,128 ",553024277.7
26595.15407," 398,891,155 ",553024277.7
26642.22514," 398,951,556 ",553024277.7
26689.29621," 399,011,336 ",553024277.7
26736.36728," 399,070,503 ",553024277.7
26783.43835," 399,129,061 ",553024277.7
26830.50942," 399,187,017 ",553024277.7
26877.58049," 399,244,377 ",553024277.7
26924.65156," 399,301,147 ",553024277.7
26971.72263," 399,357,332 ",553024277.7
27018.79369," 399,412,938 ",553024277.7
27065.86476," 399,467,971 ",553024277.7
27112.93583," 399,522,436 ",553024522.9
27160.0069," 399,576,339 ",553024522.9
27207.07797," 399,629,686 ",553024522.9
27254.14904," 399,682,482 ",553024522.9
27301.22011," 399,734,732 ",553024522.9
27348.29118," 399,786,442 ",553024522.9
27395.36225," 399,837,617 ",553024522.9
27442.43332," 399,888,263 ",553024522.9
27489.50439," 399,938,384 ",553024522.9
27536.57546," 399,987,987 ",553024522.9
27583.64652," 400,037,075 ",553024522.9
27630.71759," 400,085,654 ",553024522.9
27677.78866," 400,133,729 ",553024522.9
27724.85973," 400,181,306 ",553024522.9
27771.9308," 400,228,389 ",553024522.9
27819.00187," 400,274,982 ",553024522.9
27866.07294," 400,321,091 ",553024522.9
27913.14401," 400,366,721 ",553024522.9
27960.21508," 400,411,877 ",553024522.9
28007.28615," 400,456,562 ",553024522.9
28054.35722," 400,500,782 ",553024522.9
28101.42829," 400,544,542 ",553024522.9
28148.49935," 400,587,846 ",553024522.9
28195.57042," 400,630,698 ",553024522.9
